ICAO_code,Airport_Name,Latitude,Longitude
KCNY,Canyonlands Field,38.75,-109.75
KCDC,Cedar City Muni,37.7,-113.1
KSLC,Salt Lake City Intl,40.78,-111.96
K4BL,Blanding Muni,37.61,-109.48
KVEL,Vernal,40.43,-109.51
KT62,Provo Muni,40.31,-112.3
KCDC,St George Muni,37.7,-113.1
KBTV,Burlington Intl,44.46,-73.15
KVSF,Rutland State,43.35,-72.51
KCHO,Charlottesville - Albemarle,38.13,-78.45
KDCA,Washington National,38.86,-77.03
KCHO,Shenandoah Valley Regional,38.13,-78.45
KLYH,Lynchburg Regional,37.33,-79.2
KOFP,Hanover County Muni,37.7,-77.43
KRIC,Richmond International,37.51,-77.31
KIAD,Washington Dulles International,38.93,-77.45
KNGU,Hampton Roads,36.95,-76.28
KLFI,Langley AFB,37.08,-76.35
KIAD,Manassas Regional,38.93,-77.45
KPHF,Newport News - Williamsburg International,37.13,-76.5
KNGU,Norfolk NAS,36.95,-76.28
KORF,Norfolk Intl,36.9,-76.2
KROA,Roanoke Regional,37.31,-79.96
KCLM,William R Fairchild Intl,48.11,-123.5
KEAT,Pangborn Memorial,47.4,-120.2
KPSC,Tri-Cities,46.26,-119.11
KMWH,Grant County,47.2,-119.31
KNUW,Oak Harbor Air Park,48.35,-122.66
KNUW,Whidbey Island NAS,48.35,-122.66
KBFI,King County Intl,47.53,-122.3
KPAE,Kenmore Air Harbor Inc,47.9,-122.28
KSEA,Seattle - Tacoma Intl,47.46,-122.31
KTCM,Mcchord AFB,47.13,-122.48
CWEZ,Orcas Island,48.78,-123.05
KFHR,Friday Harbor,48.51,-123.01
KFHR,Lopez Island,48.51,-123.01
KNUW,Anacortes,48.35,-122.66
KPAE,Snohomish County,47.9,-122.28
KGEG,Spokane Intl,47.61,-117.53
KOLM,Olympia,46.96,-122.9
KALW,Walla Walla Regional,46.1,-118.28
KBLI,Bellingham Intl,48.8,-122.53
KPUW,Pullman - Moscow Regional,46.75,-117.11
KYKM,Yakima Air Terminal,46.56,-120.55
KMRB,Eastern WV Regional - Shepherd,39.4,-77.98
KROA,Greenbrier Valley,37.31,-79.96
KCKB,Benedum,39.28,-80.23
KCRW,Yeager,38.38,-81.58
KBLF,Mercer County,37.3,-81.2
KJST,Greater Cumberland Regional,40.31,-78.83
KMGW,Morgantown Muni,39.65,-79.91
KBKW,Raleigh County Memorial,37.8,-81.11
KHTS,Tri-State,38.38,-82.55
KPKB,Wood County,39.35,-81.43
KGRB,Austin Straubel International,44.48,-88.13
KEAU,Chippewa Valley Regional,44.86,-91.48
KMSN,Dane County Regional,43.13,-89.35
KMSN,Morey,43.13,-89.35
KVOK,Volk Field,43.93,-90.26
KLSE,La Crosse Muni,43.86,-91.25
KAUW,Central Wisconsin,44.91,-89.63
K15C,Lawrence J Timmerman,43.01,-87.95
KMKE,General Mitchell International,42.95,-87.9
KRHI,Rhinelander - Oneida County,45.63,-89.46
KOSH,Outagamie County,43.98,-88.55
KISW,Stevens Point Muni,44.35,-89.83
K21C,Sheboygan County Memorial,43.76,-87.85
K15C,Waukesha County,43.01,-87.95
KOSH,Wittman Regional,43.98,-88.55
KLAR,Laramie Regional,41.31,-105.68
KGEY,South Big Horn County,44.51,-108.08
KGCC,Gillette - Campbell County,44.35,-105.53
KRIW,Riverton Regional,43.05,-108.45
KCYS,Cheyenne,41.15,-104.8
KCPR,Natrona County Intl,42.9,-106.46
KGEY,Yellowstone Regional,44.51,-108.08
KSHR,Sheridan County,44.76,-106.96
KRKS,Rock Springs - Sweetwater County,41.6,-109.06
KWRL,Worland Muni,43.96,-107.95
KCZF,Hooper Bay,61.78,-166.03
KNYC,New York Skyports Inc,40.78,-73.96
KSIT,Pelican,57.05,-135.36
KSIT,Sitka,57.05,-135.36
KSTT,Cyril E King,18.35,-64.96
KSTX,Alexander Hamilton,17.7,-64.8
